Place ID,order_key,PDF_File,as_of_dates,n_snapshots
212585,449576,CA0038776 R2-2022-0029 NPDES Permit.pdf,2023-06-01;2025-06-01;2026-06-01;2026-08-13,4
212585,449576,Pacifica Order R2-2012-0002 .pdf,2023-06-01;2024-06-01;2025-06-01;2026-06-01,4
212589,427929,0018calexico.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
212589,427929,R7-2014-0004.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
212589,427929,R7-2019-0004.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01,4
212589,459837,0018calexico.pdf,2025-06-01;2026-06-01,2
212589,459837,R7-2014-0004.pdf,2025-06-01;2026-06-01,2
212589,459837,R7-2019-0004.pdf,2025-06-01;2026-06-01,2
212589,459837,R7-2025-0007.pdf,2025-06-01;2026-06-01;2026-08-13,3
212648,148046,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212681,439321,CMC Adopted WDR.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212681,439321,CMC NPDES Order R3-2020-0005 amended for new MRP.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212681,439321,CMC WWTP NPDES Permit R3-2012-0027.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212739,402049,R7-2015-0005.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212739,402049,R7-2020-0010.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212750,446901,R2-2022-0010.pdf,2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,6
212750,R2-2016-0018,,2021-06-01,1
212776,431442,19_0010_Calpella_WDR_MRP.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212847,146476,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212847,438781,2014-0153-dwq-r5338_noa.pdf,2026-08-13,1
212853,131259,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212858,131132,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212858,463718,12-8-25_Cambria CSD 2020-0020_NOA.pdf,2026-08-13,1
212899,385731,r5-2012-0045.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212962,399552,wdr_2014_final.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
212973,145161,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
212973,434569,NOA Camp Sugar Pine 2014-0153-DWQ-R5340.pdf,2026-08-13,1
213029,147030,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
213154,,,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
213270,425154,EncinaOO_FinalOrderR9-2018-0059.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
213270,425154,R9-2011-0019.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01,6
213281,396646,Carmel_Area_WWTP_final.pdf,2021-06-01;2022-06-01;2023-06-01;2024-06-01;2025-06-01;2026-06-01;2026-08-13,7
