REPORT_YEAR,CWNS_NUMBER,TREATMENT_TYPE,UNIT_PROCESS,SORT_SEQUENCE,PRES_IND,PROJ_IND,CHANGE_TYPE,BACKUP_IND,PLANNED_YEAR,ADDITIONAL_NOTES,LAST_UPDATED_TS,KEEP_UP,BLANK,CHGTP_NAME_CAT,KEEP_UP_CODE,Notes
2004,1000041001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000041001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000041001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000041001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000041001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000041001,Other,Manually Controlled,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Aerobic Digestion - Air,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Disinfection,Chlorination,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Mechanical,Combined Biological Nitrification And BOD Reductn,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Control/Lab/Maintenance Building,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Custom Built Plant,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Grit Removal,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Influent Pumping,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Landfill/Trenching,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Mechanical,Post Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Primary Sedimentation,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Mechanical,Secondary Clarification,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Other,Semi-automated,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Mechanical,Trickling Filter - Plastic Media,,Y,Y,No Change,,,,,1,,,,
2004,1000043001,Mechanical,Trickling Filter - Rock Media,,Y,Y,No Change,,,,,1,,,,
2004,1000044001,Mechanical,Activated Sludge - Extended Aeration,,Y,Y,No Change,,,,,1,,,,
2004,1000045001,Mechanical,Activated Sludge - Conventional,,Y,Y,No Change,,,,,1,,,,
2004,1000045001,Other,Air Drying - Sand Beds,,Y,Y,No Change,,,,,1,,,,
2004,1000045001,Other,Anaerobic Digestion,,Y,Y,No Change,,,,,1,,,,
2004,1000045001,Other,Bar Screen,,Y,Y,No Change,,,,,1,,,,
2004,1000045001,Other,Comminution,,Y,Y,No Change,,,,,1,,,,
